date,price
2024-05-01 17:03:11.439,57020.28018890519
2024-05-01 18:02:15.117,57468.698945478754
2024-05-01 19:06:10.386,59051.99209223489
2024-05-01 20:02:53.465,56852.05728128931
2024-05-01 21:03:16.950,57361.4276584326
2024-05-01 22:03:25.245,57831.64729198509
2024-05-01 23:03:31.155,57820.44606293166
2024-05-02 00:02:15.776,58305.94431880541
2024-05-02 01:01:00.551,57737.22604405258
2024-05-02 02:04:48.421,57079.422852923904
2024-05-02 03:04:46.581,57405.66733460479
2024-05-02 04:04:23.771,57473.191843285495
2024-05-02 05:00:46.638,57307.52432267306
2024-05-02 06:07:25.599,57395.84643691616
2024-05-02 07:01:43.425,57590.46643577258
2024-05-02 08:05:27.529,57635.934438537755
2024-05-02 09:05:32.461,57826.7318073255
2024-05-02 10:02:49.844,57807.054371483224
2024-05-02 11:06:20.191,57807.71365325178
2024-05-02 12:03:12.866,58515.19944879183
2024-05-02 13:00:28.272,58736.52259401188
2024-05-02 14:03:57.193,58422.09286332141
2024-05-02 15:03:51.824,59052.44943874052
2024-05-02 16:04:49.338,59295.06231923319
2024-05-02 17:07:30.446,59007.41650167807
2024-05-02 18:05:11.728,59235.76010332793
2024-05-02 19:00:45.671,59478.171690745745
2024-05-02 20:01:39.836,59264.37219029164
2024-05-02 21:06:51.231,58825.09395767242
2024-05-02 22:00:56.597,59103.281695497775
2024-05-02 23:01:00.602,59309.25005810256
2024-05-03 00:02:25.270,59101.80359815795
2024-05-03 01:05:04.813,59035.0253990535
2024-05-03 02:03:37.045,59312.19127788912
2024-05-03 03:02:29.086,59547.676705263264
2024-05-03 04:04:44.051,59734.71488674994
2024-05-03 05:01:29.545,59576.757362208424
2024-05-03 06:02:02.112,59517.65399145234
2024-05-03 07:02:26.412,59263.634858450976
2024-05-03 08:00:49.545,59163.1799465065
2024-05-03 09:03:47.516,59274.362931250864
2024-05-03 10:03:43.631,59512.8142037543
2024-05-03 11:06:32.647,59033.39122749094
2024-05-03 12:00:45.719,59270.4797248366
2024-05-03 13:01:23.088,60679.808749638694
2024-05-03 14:00:22.705,61545.375162503144
2024-05-03 15:02:39.615,61635.099767191765
2024-05-03 16:06:18.597,61812.44744056002
2024-05-03 17:03:30.584,61692.12736984045
2024-05-03 18:01:53.823,61873.31958319993
2024-05-03 19:05:22.610,61824.989972431504
2024-05-03 20:03:48.401,61941.32755803293
2024-05-03 21:08:31.443,62900.51280473865
2024-05-03 22:01:29.936,62592.38074912422
2024-05-03 23:08:27.229,62846.05917605649
2024-05-04 00:07:39.682,62888.508891304526
2024-05-04 01:02:49.781,63123.49150484059
2024-05-04 02:07:19.137,62781.52228369981
2024-05-04 03:04:13.236,62706.74841870422
2024-05-04 04:03:30.851,62740.051601062434
2024-05-04 05:04:02.511,63122.69222413523
2024-05-04 06:02:41.343,63417.219465384616
2024-05-04 07:06:08.289,62982.55022741184
2024-05-04 08:00:51.267,62989.03947531411
2024-05-04 09:05:46.163,63174.81811415307
2024-05-04 10:03:55.346,63166.609246788146
2024-05-04 11:02:26.335,64339.832505300714
2024-05-04 12:03:37.521,63857.839608384056
2024-05-04 13:01:55.803,64022.31971115077
2024-05-04 14:00:42.729,63629.51926756632
2024-05-04 15:02:48.848,63883.221593191716
2024-05-04 16:00:15.678,63580.86793297127
2024-05-04 17:04:01.324,63670.75505573121
2024-05-04 18:00:14.547,63473.010916378866
2024-05-04 19:01:13.150,63639.73499563124
2024-05-04 20:05:37.471,63951.225463868745
2024-05-04 21:07:24.078,63876.506031230434
2024-05-04 22:01:20.152,63965.382342002646
2024-05-04 23:04:36.701,63645.483820910595
2024-05-05 00:01:48.418,63916.7594807191
2024-05-05 01:01:30.213,63523.54364631889
2024-05-05 02:00:36.110,63250.670679041075
2024-05-05 03:01:25.202,63145.10570901847
2024-05-05 04:04:20.654,63252.502669326845
2024-05-05 05:04:21.951,63362.68353714227
2024-05-05 06:04:04.636,63207.74024249751
2024-05-05 07:03:54.758,63397.70056361196
2024-05-05 08:01:53.196,63765.09243767949
2024-05-05 09:05:40.998,63683.49084406899
2024-05-05 10:00:30.307,63752.81378669479
2024-05-05 11:07:06.412,63731.17044668806
